Samples	CN1	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CN10	CN11	CN12	CN13	CN14	CN15	CN16	CN17	CN18	CN19	CN20	CN21	CN22	CN23	CN24	CN25
TCGA-CS-4938	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0
TCGA-CS-4942	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0
TCGA-CS-4943	0	60	0	0	0	0	60	0	0	0	0	0	0	0	0	0	46	0	42	0	0	0	0	0	0
TCGA-CS-4944	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0
TCGA-CS-5393	46	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0
TCGA-CS-6290	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0
TCGA-CS-6665	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0
TCGA-CS-6666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	146	0
TCGA-CS-6667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548	0
TCGA-DB-5270	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0
TCGA-DB-5273	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0
TCGA-DB-5275	0	59	0	0	0	96	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0
TCGA-DB-5276	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0
TCGA-DB-5277	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0
TCGA-DB-5280	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0
